slideId,title,content
1,PATHFINDER BIBLE EXPERIENCE,"2026
Etap chorągwiany
Księga Izajasza rozdziały: 1-33"
2,Oświadczenie:,"Pytania i odpowiedzi zostały przetłumaczone z języka angielskiego, a następnie poddane korekcie i opracowaniu na podstawie przekładu: Biblia, to jest Pismo Święte Starego i Nowego Przymierza (Ewangeliczny Instytut Biblijny, Poznań 2016). Mogą występować różnice w treści pytań i odpowiedzi, wynikające z różnic pomiędzy przekładami Biblii (angielskim i polskim)."
3,Czas! START!,
4,PYTANIE #1,"(1 pkt) Według Izajasza 8:17, przed kim Pan zakrywa swoje oblicze?"
5,PYTANIE #1,Odpowiedź: przed domem Jakuba
6,PYTANIE #2,"(1 pkt) Według Izajasza 21:16, prorok usłyszał, że skończy się wszelka chwała Kedaru. Kiedy się to stanie?"
7,PYTANIE #2,Odpowiedź: za rok
8,PYTANIE #3,"(2 pkt.) Według Izajasza 13:19, do upadku jakich dwóch miast porównany jest upadek Babilonu – klejnotu królestw, chluby i dumy Chaldejczyków?"
9,PYTANIE #3,"Odpowiedź: Sodomy, Gomory"
10,PYTANIE #4,"(1 pkt) Według Izajasza 26:12, w pieśni (którą zaśpiewają w ziemi judzkiej) prorok pragnie aby Pan zapewnił im… co?"
11,PYTANIE #4,Odpowiedź: pokój
12,PYTANIE #5,"(2 pkt.) Według Izajasza 33:9, ziemia więdnie, usycha Liban. Jakie dwa miejsca zostały otrząśnięte z liści?"
13,PYTANIE #5,"Odpowiedź: Baszan, Karmel"
14,PYTANIE #6,"(4 pkt.) Według Izajasza 14:22, gdy Pan Zastępów powstanie przeciwko Babilonowi, co Babilon straci oraz co zostanie wytępione przez Pana?"
15,PYTANIE #6,"Odpowiedź: straci imię, jego resztę, potomnych, potomstwo"
16,PYTANIE #7,"(1 pkt) Według Izajasza 11:15, na ile strumieni podzieli Pan Eufrat, tak że będzie można go przejść nawet w sandałach?"
17,PYTANIE #7,Odpowiedź: siedem
18,PYTANIE #8,"(2 pkt.) Według Izajasza 15:2, w ogłoszonym wyroku, Moab będzie lamentował nad Nebo i Medebą. Co będzie znajdowało się na każdej głowie oraz co się stanie z każdą brodą?"
19,PYTANIE #8,"Odpowiedź: na każdej głowie łysina, każda broda – zgolona"
20,PYTANIE #9,"(1 pkt) Według Izajasza 3:25, w tym dniu (sądu nad córkami Syjonu), w jaki sposób zginą ich mężczyźni?"
21,PYTANIE #9,Odpowiedź: padną od miecza
22,PYTANIE #10,"(2 pkt.) Według Izajasza 24:6, klątwa pochłania ziemię i jej mieszkańcy muszą ponieść winę. Co się dzieje z mieszkańcami ziemi i ilu pozostaje ludzi na niej?"
23,PYTANIE #10,"Odpowiedź: ubywa mieszkańców, niewielu pozostaje ludzi"
24,PYTANIE #11,"(1 pkt) Według Izajasza 31:7, każdy człowiek [w tym dniu] porzuci swoje srebrne i złote bożki. W jaki sposób powstały te bożki?"
25,PYTANIE #11,Odpowiedź: zostały sporządzone (grzesznymi) rękami tych ludzi
26,PYTANIE #12,"(2 pkt.) Według Izajasza 25:4, dla jakich dwóch grup ludzi, Pan był schronieniem, ucieczką przed ulewą i cieniem w czasie upału?"
27,PYTANIE #12,"Odpowiedź: biednym, ubogim (w niedoli)"
28,PYTANIE #13,"(1 pkt) Na podstawie Izajasza 13:13, oceńcie prawdziwość zdania (Prawda/Fałsz): Pan zapowiedział, że wstrząśnie niebem i gwiazdy zadrżą w posadach, ponieważ poruszy je Jego wzburzenie."
29,PYTANIE #13,Odpowiedź: Fałsz (ziemia zadrży w posadach)
30,PYTANIE #14,"(2 pkt.) Na podstawie Izajasza 5:18, uzupełnijcie brakujące słowa: „Biada ściągającym winę sznurami marności, a grzech – niczym _______ ______!”"
31,PYTANIE #14,"Odpowiedź: powrozami, wozów"
32,PYTANIE #15,"(3 pkt.) Według Izajasza 24:23, gdzie Pan Zastępów stanie się królem oraz wobec kogo stanie się chwałą?"
33,PYTANIE #15,"Odpowiedź: na górze Syjon, w Jerozolimie, wobec starszych"
34,PYTANIE #16,"(1 pkt) Według Izajasza 27:12, w jaki sposób będą zbierani synowie Izraela, gdy Pan jednak wymłóci kłosy, od Eufratu po Potok Egipski?"
35,PYTANIE #16,Odpowiedź: będą zbierani jeden po drugim
36,PYTANIE #17,"(1 pkt) Według Izajasza 7:4, do dwóch niedopałków czego został przyrównany gniew Resina z Aramem i syna Remaliasza? Bądźcie dokładni."
37,PYTANIE #17,Odpowiedź: [dymiących] głowni
38,PYTANIE #18,"(3 pkt.) Według Izajasza 33:18, ludzie tylko wspominać będą czasy grozy. O jakie trzy grupy ludzi będą zadawać pytanie: „gdzie [są]…”?"
39,PYTANIE #18,"Odpowiedź: o rachmistrzów, księgowych, spisywaczy wież"
40,PYTANIE #19,"(1 pkt) Według Izajasza 8:6, jakie wody, spokojnie płynące, odrzucił [ten] lud?"
41,PYTANIE #19,Odpowiedź: wody Sziloach
42,PYTANIE #20,"(4 pkt.) Na podstawie Izajasza 8:9, uzupełnijcie brakujące słowa: „______ [ręce], ____, zadrżyjcie! Wsłuchajcie się, wy z najdalszych miejsc ziemi! _________ się i drżyjcie! Przepaszcie się i _______!”"
43,PYTANIE #20,"Odpowiedź: Załamcie, ludy, Przepaszcie, drżyjcie"
44,PYTANIE #21,"(1 pkt) Według Izajasza 23:13, dla kogo Asyryjczyk założył ziemię chaldejską? Bądźcie dokładni."
45,PYTANIE #21,Odpowiedź: dla żeglarzy
46,PYTANIE #22,"(2 pkt.) Według Izajasza 14:4, prorok miał wznieść szyderczą pieśń o królu Babilonu. Co zostało wyczerpane według tej pieśni?"
47,PYTANIE #22,"Odpowiedź: ciemięzca, jego ciemiężenie"
48,PYTANIE #23,"(1 pkt) Według Izajasza 23:1, kto ogłosił, że Tyr jest spustoszony: bez domu, bez portu, bez ziemi?"
49,PYTANIE #23,Odpowiedź: Cypryjczycy
50,PYTANIE #24,"(1 pkt) Według Izajasza 29:20, na okrutnych przyjdzie kres, a wszyscy chciwi nieprawości będą wytępieni. Co stanie się z szydercami?"
51,PYTANIE #24,Odpowiedź: przepadną
52,PYTANIE #25,"(4 pkt.) Według Izajasza 28:2, do jakich czterech zjawisk przyrodniczych został porównany ktoś mocny i potężny u Pana? Bądźcie dokładni."
53,PYTANIE #25,"Odpowiedź: jest jak - ulewa gradowa, huragan zniszczenia, strumień wód wielkich, potężna powódź"
54,PYTANIE #26,"(2 pkt.) Według Izajasza 4:5-6: „Pan utworzy nad górą Syjon obłok za dnia (…), ponieważ chwała będzie osłoną nad wszystkim”. Przed czym szczególnie będzie chronić chwała jak namiot i skuteczne schronienie?"
55,PYTANIE #26,"Odpowiedź: zapewni cień w upalne dni, osłoni w czasie ulewnych deszczów"
56,PYTANIE #27,"(4 pkt.) Według Izajasza 1:1, podczas panowania jakich czterech królów judzkich, prorok Izajasz miał widzenie dotyczące Judy i Jerozolimy?"
57,PYTANIE #27,"Odpowiedź: Uzjasza, Jotama, Achaza, Hiskiasza"
58,PYTANIE #28,"(2 pkt.) Według Izajasza 3:1, komu Pan Zastępów odbierze „nawet najmniejszą podporę – wszelką pomoc w chlebie i wszelkie wsparcie w wodzie”?"
59,PYTANIE #28,"Odpowiedź: Jerozolimie, Judzie"
60,PYTANIE #29,"(1 pkt) Według Izajasza 11:10, czym będzie Korzeń Jessaja dla ludów w tym dniu?"
61,PYTANIE #29,Odpowiedź: sztandarem
62,PYTANIE #30,"(2 pkt.) Według Izajasza 20:2.3, jakie części ubioru Pan polecił zdjąć Izajaszowi, jako zapowiedź przeciwko Egiptowi i Kusz?"
63,PYTANIE #30,"Odpowiedź: włosiennicę, sandały"
64,PRZERWA,
65,PYTANIE #31,"(1 pkt) Według Izajasza 16:1, co miało zostać wysłane do władcy ziemi?"
66,PYTANIE #31,Odpowiedź: baran
67,PYTANIE #32,"(1 pkt) Według Izajasza 2:17, co się stanie z wyniosłością człowieka [w tym dniu], gdy tylko Pan będzie wywyższony?"
68,PYTANIE #32,Odpowiedź: opadnie
69,PYTANIE #33,"(5 pkt.) Na podstawie Izajasza 26:3, uzupełnijcie brakujące słowa: „Twój ___ jest wciąż taki sam: Zapewniasz ______, pokój ____, kto ____ _____.”"
70,PYTANIE #33,"Odpowiedź: cel, pokój, temu, Tobie, zaufał"
71,PYTANIE #34,"(1 pkt) Według Izajasza 22:15.17, do kogo Pan Zastępów skierował te słowa: „Oto PAN rzuci cię daleko, mocnym rzutem, siłaczu!”"
72,PYTANIE #34,Odpowiedź: do Szebny (przełożonego pałacu)
73,PYTANIE #35,"(2 pkt.) Według Izajasza 30:8, Izajasz miał zapisać to (przesłanie) „niech zostanie na przyszłość, jako świadectwo na wieki”. Na czym miał prorok to napisać i wykaligrafować?"
74,PYTANIE #35,"Odpowiedź: na tablicy, na zwoju"
75,PYTANIE #36,"(1 pkt) Na podstawie Izajasza 19:19, oceńcie prawdziwość zdania (Prawda/Fałsz): Izajasz napisał, że w Egipcie, przy jego granicy, stanie pamiątkowy słup dla Pana."
76,PYTANIE #36,Odpowiedź: Prawda
77,PYTANIE #37,"(2 pkt.) Według Izajasza 23:9, co Pan Zastępów postanowił względem pychy i wyniosłości „u wszystkich dostojników ziemi”?"
78,PYTANIE #37,"Odpowiedź: poniżyć pychę, ukrócić wyniosłość (wszelką)"
79,PYTANIE #38,"(1 pkt) Według Izajasza 18:7, komu będzie przynosić dary lud rosły, z gładką skórą, którego kraj przecinają rzeki?"
80,PYTANIE #38,Odpowiedź: Panu Zastępów
81,PYTANIE #39,"(3 pkt.) Na podstawie Izajasza 17:3, uzupełnijcie brakujące słowa: „______ straci warownię, _________ władzę królewską, a z resztą ______ będzie tak, jak z chwałą synów Izraela – oświadcza PAN Zastępów.”"
82,PYTANIE #39,"Odpowiedź: Efraim, Damaszek, Aramu"
83,PYTANIE #40,"(1 pkt) Według Izajasza 10:24, kogo lud Pana Zastępów, mieszkający na Syjonie ma się nie bać?"
84,PYTANIE #40,Odpowiedź: Asyrii
85,PYTANIE #41,"(2 pkt.) Według Izajasza 32:11-12, nad czym mają płakać „beztroskie kobiety”, przepasawszy swoje biodra?"
86,PYTANIE #41,"Odpowiedź: nad żyznymi polami, nad urodzajnymi winnicami"
87,PYTANIE #42,"(1 pkt) Według Izajasza 27:1, jakie zwierzę Pan „ukarze swym ostrym, wielkim i mocnym mieczem”?"
88,PYTANIE #42,Odpowiedź: węża
89,PYTANIE #43,"(2 pkt.) Według Izajasza 18:3, kto zobaczy sztandar zatknięty na górach i usłyszy głos rogu?"
90,PYTANIE #43,"Odpowiedź: mieszkańcy świata, osiedleńcy na ziemi"
91,PYTANIE #44,"(2 pkt.) Na podstawie Izajasza 7:21, uzupełnijcie brakujące słowa: „W tym dniu każdy będzie hodował ______ i dwie _____.”"
92,PYTANIE #44,"Odpowiedź: jałówkę, owce"
93,PYTANIE #45,"(6 pkt.) Według Izajasza 29:6, z jakimi sześcioma zjawiskami wystąpi Pan Zastępów z powodu ich (Ariela) nieposłuszeństwa?"
94,PYTANIE #45,"Odpowiedź: z grzmotem, wstrząsem, hałasem, burzą, wichrem, płomieniem (zdolnym pożreć wszystko)"
95,PYTANIE #46,"(1 pkt) Według Izajasza 28:29, kto jest „cudowny w radzie” oraz „wielki w zapewnianiu trwałego powodzenia”?"
96,PYTANIE #46,Odpowiedź: Pan Zastępów
97,PYTANIE #47,"(1 pkt) Według Izajasza 17:7, w ty dniu człowiek zwróci swój wzrok ku Świętemu Izraela. Na kogo człowiek będzie spoglądał? Bądźcie dokładni."
98,PYTANIE #47,Odpowiedź: „na swojego Stwórcę”
99,PYTANIE #48,"(2 pkt.) Według Izajasza 4:2, [w tym dniu] czym stanie się owoc ziemi dla ocalonych Izraela?"
100,PYTANIE #48,"Odpowiedź: chlubą, koroną"
101,PYTANIE #49,"(2 pkt.) Według Izajasza 15:1, w ogłoszonym wyroku na Moab, co stało się w nocy z Ar-Moab oraz Kir-Moab?"
102,PYTANIE #49,"Odpowiedź: spustoszone, zburzone"
103,PYTANIE #50,"(1 pkt) Według Izajasza 29:16, Pan zwrócił się do przewrotnych ludzi, którzy zachowywali się tak, jak gdyby glinę można było stawiać na równi… z kim?"
104,PYTANIE #50,Odpowiedź: z garncarzem
105,PYTANIE #51,"(3 pkt.) Na podstawie Izajasza 21:7, uzupełnijcie brakujące słowa: „Czy zobaczy rydwan, parę ____, jeźdźców na ____ albo na _______ – niech patrzy z uwagą, z wielką uwagą!”"
106,PYTANIE #51,"Odpowiedź: koni, ośle, wielbłądzie"
107,PYTANIE #52,"(1 pkt) Według Izajasza 25:6, co Pan Zastępów wyprawi na [tej] górze dla wszystkich ludów?"
108,PYTANIE #52,Odpowiedź: ucztę
109,PYTANIE #53,"(2 pkt.) Według Izajasza 31:3, kto potknie się oraz kto padnie (i wszyscy razem poginą), gdy Pan wyciągnie swoją rękę?"
110,PYTANIE #53,"Odpowiedź: potknie się obrońca, padnie broniony"
111,PYTANIE #54,"(1 pkt) Według Izajasza 10:5, kto jest laską gniewu Pana Zastępów i w czyjej ręce jest rózga Jego wzburzenia?"
112,PYTANIE #54,Odpowiedź: Asyryjczyk (Asyria)
113,PYTANIE #55,"(3 pkt.) Według Izajasza 28:16, jakimi trzema słowami Wszechmocny Pan opisał kamień mocnego fundamentu, który położy na Syjonie?"
114,PYTANIE #55,"Odpowiedź: wypróbowany, kosztowny, węgielny"
115,PYTANIE #56,"(1 pkt) Według Izajasza 12:6, do kogo powiedziano te słowa: „Wołaj! Śpiewaj z radości…”?"
116,PYTANIE #56,Odpowiedź: do mieszkanki Syjonu
