slideId,title,content
1,PATHFINDER BIBLE EXPERIENCE,"2026
Конференційний рівень
ІСАЇ  розділи 1-33"
2,Oświadczenie:,"Pytania i odpowiedzi zostały przetłumaczone z języka angielskiego, a następnie poddane korekcie i opracowaniu na podstawie przekładu: Biblia, to jest Pismo Święte Starego i Nowego Przymierza (Ewangeliczny Instytut Biblijny, Poznań 2016). Mogą występować różnice w treści pytań i odpowiedzi, wynikające z różnic pomiędzy przekładami Biblii (angielskim i polskim)."
3,Тестування починається,
4,ПИТАННЯ #1,"(1 бал) Згідно з Ісаєю 8:17, Ісая каже, що він очікуватиме Господа. Від кого Господь ховає Своє обличчя?"
5,ПИТАННЯ #1,Відповідь: Від дому Якова
6,ПИТАННЯ #2,"(1 бал) Згідно з Ісаєю 21:16, Ісаї було сказано, що вся слава Кедара щезне. Як скоро вона щезне?"
7,ПИТАННЯ #2,Відповідь: За рік
8,ПИТАННЯ #3,"(2 бали) Згідно з Ісаєю 13:19, Ісая каже, що Вавилон, окраса царств… стане як які два міста, яких Бог знищив?"
9,ПИТАННЯ #3,"Відповідь: Содом, Гоморра"
10,ПИТАННЯ #4,"(1 бал) Згідно з Ісаєю 26:12, що, за словами Ісаї, Господь може подарувати нам?"
11,ПИТАННЯ #4,Відповідь: Мир
12,ПИТАННЯ #5,"(2 бали) Згідно з Ісаєю 33:9, земля сумує та в’яне. В яких двох містах опадає листя?"
13,ПИТАННЯ #5,Відповідь: Башан і Кармел
14,ПИТАННЯ #6,"(4 бали) Згідно з Ісаєю 14:22, Господь Саваот каже, що Він повстане проти Вавилону. Які чотири речі, за словами Господа, Він знищить?"
15,ПИТАННЯ #6,"Відповідь: Ім'я, залишок, спадкоємців, нащадків"
16,ПИТАННЯ #7,"(1 бал) Згідно з Ісая 11:15 на скільки потоків розділить Господь Ріку (Євфрат) так, щоб можна було її перейти в сандалях?"
17,ПИТАННЯ #7,Відповідь: сім
18,ПИТАННЯ #8,"(2 бали) Згідно з Ісаєю 15:2, У пророцтві про Моава, «Моав голосить над Нево і над Медевою». Яким є стан їхніх голів та їхніх борід?"
19,ПИТАННЯ #8,"Відповідь: В кожного голова оголена, в усіх борода обстрижена!"
20,ПИТАННЯ #9,"(1 бал) Згідно з Ісаєю 3:25, того дня (караючи дочок Сіону), як їхні чоловіки впадуть?"
21,ПИТАННЯ #9,Відповідь: Від меча
22,ПИТАННЯ #10,"(2 бали) Згідно з Ісаєю 24:6, «Прокляття пожирає землю», як описано тих людей, «котрі проживають на землі?»"
23,ПИТАННЯ #10,"Відповідь: Будуть спалені, небагато залишиться"
24,ПИТАННЯ #11,"(1 бал) Згідно з Ісаєю 31:7, «Того дня кожен відкине своїх срібних і золотих ідолів». Як вони отримали цих ідолів?"
25,ПИТАННЯ #11,Відповідь: Власними руками зробили собі
26,ПИТАННЯ #12,"(2 бали) Згідно з Ісаєю 25:4, для яких двох груп людей, за словами Ісаї, Господь був захистом?"
27,ПИТАННЯ #12,"Відповідь: Для бідних, нещасних"
28,ПИТАННЯ #13,"(1 бал) Згідно з Ісаєю 13:13, правда чи неправда, Господь каже, що Він захитає небом, і зірки зрушать зі свого місця?"
29,ПИТАННЯ #13,Відповідь: Неправда (зрушиться зі свого місця земля)
30,ПИТАННЯ #14,"(2 бали) Згідно з Ісаєю 5:18, заповніть пропуски: Ісая пише: «Горе тим, котрі тягнуть за собою гріхи, наче шнурами марноти, і беззаконня – наче _______ від _____»."
31,ПИТАННЯ #14,"Відповідь: Мотузками, воза"
32,ПИТАННЯ #15,"(3 бали) Згідно з Ісаєю 24:23, де Господь Саваот зацарює та засяє Його слава?"
33,ПИТАННЯ #15,"Відповідь: На горі Сіон, в Єрусалимі, перед старійшинами."
34,ПИТАННЯ #16,"(1 бал) Згідно з Ісаєю 27:12, як Господом будуть зібрані діти Ізраїля?"
35,ПИТАННЯ #16,Відповідь: Один за одним
36,ПИТАННЯ #17,"(1 бал) Згідно з Ісаєю 7:4, Рецін з арамійцями та Ремаліїн син порівнюються з двома недогорілими обрубками чого? Будьте точними."
37,ПИТАННЯ #17,Відповідь: Димуючих головешок
38,ПИТАННЯ #18,"(3 бали) Згідно з Ісаєю 33:18, серце буде лише згадувати про минулі страхіття і питатиме: Де ті три особи, які що робили?"
39,ПИТАННЯ #18,"Відповідь: Де ті, що рахували? Де ті, що важили? Де той, що перераховував вежі?"
40,ПИТАННЯ #19,"(1 бал) Відповідно до Ісаї 8:6, якими тихоплинними водами, за словами Господа, знехтував цей народ?"
41,ПИТАННЯ #19,Відповідь: Водами Сілоаму
42,ПИТАННЯ #20,"(4 бали) Згідно з Ісаєю 8:9, заповніть пропуски: «Розлючуйтесь, народи, і тремтіть! Прислухайтесь усі віддалені землі! _________, але ________! ________ і ________»!"
43,ПИТАННЯ #20,"Відповідь: Озбройтесь, тремтіть, Підпережіться, тремтіть»!"
44,ПИТАННЯ #21,"(1 бал) Згідно з Ісаєю 23:13, для кого ассирійці визначили край халдеїв? Будьте точними."
45,ПИТАННЯ #21,Відповідь: Для звірів пустелі
46,ПИТАННЯ #22,"(2 бали) Згідно з Ісаєю 14:4, Ісаї було наказано притчею заспівати пісню про царя вавилонського. Що він мав сказати окрім: «Скінчилося»?"
47,ПИТАННЯ #22,"Відповідь: Не стало гнобителя, – скінчилося пригноблення!"
48,ПИТАННЯ #23,"(1 бал) Згідно з Ісая 23:1 при поверненні з якого краю було проголошено про те, що знищені торгівельні палати Тиру і немає до них входу?"
49,ПИТАННЯ #23,Відповідь: з кіттімського краю
50,ПИТАННЯ #24,"(1 бал) Згідно з Ісаєю 29:20, «Того дня не стане гнобителя», що ж станеться з глузливим?"
51,ПИТАННЯ #24,Відповідь: Загине
52,ПИТАННЯ #25,"(4 бали) Згідно з Ісаєю 28:2, до яких трьох природних стихій подібний сильний та могутній Господь і що робить остання стихія? Будьте точними."
53,ПИТАННЯ #25,"Відповідь: Буря з градом, нищівний ураган, потужний потік води, котрий заливає / зі силою падає на землю"
54,ПИТАННЯ #26,"(2 бали) Згідно з Ісаєю 4:6, окрім тіні від спеки вдень наче в наметі, від чого ще буде притулок захистом?"
55,ПИТАННЯ #26,Відповідь: Від негоди та дощу вночі.
56,ПИТАННЯ #27,"(4 бали) Згідно з Ісаєю 1:1, Ісая пише про видіння, яке він бачив стосовно Юдеї та Єрусалиму, за часів яких чотирьох юдейських царів?"
57,ПИТАННЯ #27,"Відповідь: Уззії, Йотама, Ахаза та Єзекії"
58,ПИТАННЯ #28,"(2 бали) Згідно з Ісаєю 3:1, у кого Господь Саваот забере підпору і допомогу?"
59,ПИТАННЯ #28,Відповідь: В Єрусалима та Юдеї
60,ПИТАННЯ #29,"(1 бал) Згідно з Ісаєю 11:10, Того дня буде Корінь Єссея. Чим стане Корінь для народів?"
61,ПИТАННЯ #29,Відповідь: Знаменом
62,ПИТАННЯ #30,"(2 бали) Згідно з Ісаєю 20:2, як Ісая ходив, отримавши наказ від Господа зняти веретище та взуття?"
63,ПРЕРВА,
64,ПИТАННЯ #30,Відповідь: Нагим і босим
65,ПИТАННЯ #31,"(1 бал) Згідно з Ісаєю 16:1, в пророцтві про Моава, кого слід послати до володаря краю?"
66,ПИТАННЯ #31,Відповідь: Ягнят
67,ПИТАННЯ #32,"(1 бал) Згідно з Ісаєю 2:17, що станеться з гординею людини того дня, описаного Ісаєю?"
68,ПИТАННЯ #32,Відповідь: Впокорена буде гординя
